ID,Color,Size,Type,In Stock?,Price
234893,Dog Bones,Medium,Single,In Stock,8.99
234894,Dog Bones,Medium,4 Pack,In Stock,29.99
234896,Dog Bones,Large,Single,In Stock,8.99
234897,Dog Bones,Large,4 Pack,In Stock,29.99
234899,Dog Bones,Extra Large,Single,In Stock,8.99
234900,Dog Bones,Extra Large,4 Pack,In Stock,29.99
234902,Blue Plaid,Extra Small,Single,In Stock,8.99
234903,Blue Plaid,Extra Small,4 Pack,In Stock,29.99
234905,Blue Plaid,Small,Single,In Stock,8.99
234906,Blue Plaid,Small,4 Pack,In Stock,29.99
234908,Blue Plaid,Medium,Single,In Stock,8.99
234915,Blue Plaid,Extra Large,4 Pack,In Stock,29.99
234857,London Plaid Camel,Extra Small,Single,In Stock,8.99
234909,Blue Plaid,Medium,4 Pack,In Stock,29.99
234858,London Plaid Camel,Extra Small,4 Pack,In Stock,29.99
234911,Blue Plaid,Large,Single,In Stock,8.99
234842,Black,Extra Small,Single,In Stock,8.99
234912,Blue Plaid,Large,4 Pack,In Stock,29.99
234852,Black,Large,4 Pack,In Stock,29.99
234860,London Plaid Camel,Small,Single,In Stock,8.99
234861,London Plaid Camel,Small,4 Pack,In Stock,29.99
234914,Blue Plaid,Extra Large,Single,In Stock,8.99
234863,London Plaid Camel,Medium,Single,In Stock,8.99
234854,Black,Extra Large,Single,In Stock,8.99
234864,London Plaid Camel,Medium,4 Pack,In Stock,29.99
234855,Black,Extra Large,4 Pack,In Stock,29.99
234866,London Plaid Camel,Large,Single,In Stock,8.99
234867,London Plaid Camel,Large,4 Pack,In Stock,29.99
234869,London Plaid Camel,Extra Large,Single,In Stock,8.99
234870,London Plaid Camel,Extra Large,4 Pack,In Stock,29.99
234872,Stewart Plaid Red,Extra Small,Single,In Stock,8.99
234873,Stewart Plaid Red,Extra Small,4 Pack,In Stock,29.99
234875,Stewart Plaid Red,Small,Single,In Stock,8.99
234876,Stewart Plaid Red,Small,4 Pack,In Stock,29.99
234878,Stewart Plaid Red,Medium,Single,In Stock,8.99
234879,Stewart Plaid Red,Medium,4 Pack,In Stock,29.99
234881,Stewart Plaid Red,Large,Single,In Stock,8.99
234882,Stewart Plaid Red,Large,4 Pack,In Stock,29.99
234884,Stewart Plaid Red,Extra Large,Single,In Stock,8.99
234885,Stewart Plaid Red,Extra Large,4 Pack,In Stock,29.99
234887,Dog Bones,Extra Small,Single,In Stock,8.99
234888,Dog Bones,Extra Small,4 Pack,In Stock,29.99
234890,Dog Bones,Small,Single,In Stock,8.99
234843,Black,Extra Small,4 Pack,In Stock,29.99
234845,Black,Small,Single,In Stock,8.99
234846,Black,Small,4 Pack,In Stock,29.99
234848,Black,Medium,Single,In Stock,8.99
234849,Black,Medium,4 Pack,In Stock,29.99
234851,Black,Large,Single,In Stock,8.99
234891,Dog Bones,Small,4 Pack,In Stock,29.99
